KIC,Seismic_Age_Gyr,Pred_Age_A_Gyr,Pred_Age_B_Gyr,Difference_B_minus_A
11466146,3.4545,3.0783936002731322,3.3660160690367222,0.28762246876359
11466172,0.8218,3.4375400353133676,3.1398401402682063,-0.29769989504516126
11466656,1.9999,3.029673610383272,2.981764461556077,-0.047909148827195214
11467232,3.1317,2.2454515476465224,2.4885820471584794,0.24313049951195698
11467720,6.0071,5.078649662923812,5.211989489620923,0.13333982669711109
11468149,8.5071,10.501510716235638,9.852637607079744,-0.6488731091558932
11468340,4.6394,3.9287810662358997,4.15980718536973,0.2310261191338303
11494169,4.6902,5.028713262879848,5.100454126912355,0.07174086403250701
11494312,2.8541000000000003,3.5429713603556157,1.2547092467457055,-2.2882621136099104
11494511,8.5836,7.431254050129652,8.171678810673951,0.7404247605442995
11494646,4.7839,4.363902031230927,4.576737262412905,0.21283523118197856
